Revenue,Duration,Score,genre,,,,,,,,
176104344,87,4.9,35,,,,,,,,
210000000,177,7.7,28,,,,,,,,
96889998,125,6.6,18,,,,,,,,
527068851,87,6.9,16,,,,,,,,
37317558,152,6.6,18,,,,,,,,
54744738,116,4.5,28,,,,,,,,
62172050,109,6.9,12,,,,,,,,
256697520,108,6.2,18,,,,,,,,
294456605,85,5.4,35,,,,,,,,
408247917,106,6.4,18,,,,,,,,
919838758,93,6.7,12,,,,,,,,
461983149,117,6.6,16,,,,,,,,
309457509,116,5.7,35,,,,,,,,
277448382,124,5.8,28,,,,,,,,
311594032,93,5.8,16,,,,,,,,
309492681,117,6.4,28,,,,,,,,
319131050,153,7.9,18,,,,,,,,
300854823,144,6.6,12,,,,,,,,
240031094,124,6.6,28,,,,,,,,
116643346,117,5.8,28,,,,,,,,
203388341,136,6.5,18,,,,,,,,
42285169,110,5.3,18,,,,,,,,
171183863,101,5.5,12,,,,,,,,
443140005,88,5.4,35,,,,,,,,
114660784,138,6.7,28,,,,,,,,
161025640,120,6.2,28,,,,,,,,
118000000,103,6.3,878,,,,,,,,
202466756,116,5.5,28,,,,,,,,
122919055,125,7.6,12,,,,,,,,
177584879,146,7,18,,,,,,,,
154984035,118,5.8,10752,,,,,,,,
90000098,139,7.1,12,,,,,,,,
134748021,133,5.8,18,,,,,,,,
215529201,92,6.2,27,,,,,,,,
116672912,116,6,18,,,,,,,,
135560026,127,7.1,12,,,,,,,,
131457682,136,7,12,,,,,,,,
67112664,111,5.2,35,,,,,,,,
65977295,116,5.4,28,,,,,,,,
55987321,105,5,12,,,,,,,,
33561137,97,5.2,28,,,,,,,,
160112671,88,6.1,14,,,,,,,,
59418613,123,6,35,,,,,,,,
32287044,125,5.9,18,,,,,,,,
57777106,116,6.1,28,,,,,,,,
19924033,91,4.3,28,,,,,,,,
19870567,97,5.5,53,,,,,,,,
13596911,95,5.9,12,,,,,,,,
18662027,88,5.9,16,,,,,,,,
17752940,133,5.1,80,,,,,,,,
57958696,107,5.7,9648,,,,,,,,
38629478,114,4.6,80,,,,,,,,
122915111,115,6.7,28,,,,,,,,
61279452,99,4.4,28,,,,,,,,
193000000,124,5.9,53,,,,,,,,
698491347,124,5.8,12,,,,,,,,
71069884,124,6.7,28,,,,,,,,
543513985,95,7.1,16,,,,,,,,
35431113,103,5.4,28,,,,,,,,
217022588,115,6.2,35,,,,,,,,
39041505,127,6.9,12,,,,,,,,
29762011,121,5.7,12,,,,,,,,
83160734,105,5.4,35,,,,,,,,
60289912,157,7.3,18,,,,,,,,
52099090,114,6.3,28,,,,,,,,
113280098,128,6.5,28,,,,,,,,
86387857,114,5.5,35,,,,,,,,
112265139,94,5.5,28,,,,,,,,
212404396,112,6,10749,,,,,,,,
189198313,121,6.6,9648,,,,,,,,
25303038,102,5,28,,,,,,,,
481840909,169,7.9,18,,,,,,,,
203277636,130,6.1,28,,,,,,,,
374111707,127,6.1,35,,,,,,,,
383257136,81,7.1,16,,,,,,,,
75715436,136,5.3,18,,,,,,,,
275293450,149,6.7,36,,,,,,,,
463517383,136,7.9,28,,,,,,,,
355237933,140,7.3,18,,,,,,,,
172855065,104,5.5,14,,,,,,,,
441809770,157,7.1,18,,,,,,,,
250821495,119,6.3,35,,,,,,,,
128107642,98,6.5,35,,,,,,,,
250288523,136,6.3,28,,,,,,,,
211780824,95,6.2,35,,,,,,,,
163442937,137,7.3,18,,,,,,,,
128884132,130,6.3,28,,,,,,,,
255000211,112,6.1,28,,,,,,,,
150270147,108,5.7,28,,,,,,,,
69700000,104,6,14,,,,,,,,
162945894,128,5.9,18,,,,,,,,
0,117,6.5,18,,,,,,,,
179379533,83,5.9,35,,,,,,,,
162091208,159,7.1,9648,,,,,,,,
133821816,119,6,35,,,,,,,,
153962963,105,6.7,10749,,,,,,,,
156974557,103,5.9,28,,,,,,,,
128905366,123,5.7,878,,,,,,,,
38376497,114,6.4,28,,,,,,,,
0,143,6.1,35,,,,,,,,
240159255,95,5.6,28,,,,,,,,
73762516,105,6,28,,,,,,,,
89456761,120,6.5,80,,,,,,,,
0,135,6,28,,,,,,,,
64321501,101,6.1,10751,,,,,,,,
100853753,139,8.3,18,,,,,,,,
43545364,124,6.7,18,,,,,,,,
17218080,100,5.4,28,,,,,,,,
0,105,4.9,28,,,,,,,,
71154592,92,5,27,,,,,,,,
42093706,130,6.7,80,,,,,,,,
56681566,97,4.8,28,,,,,,,,
39407616,102,6.3,80,,,,,,,,
74608570,133,5.3,18,,,,,,,,
203427584,121,6.7,12,,,,,,,,
132180323,147,7.1,80,,,,,,,,
296655431,94,5.9,35,,,,,,,,
44091067,94,6.1,16,,,,,,,,
920100000,127,7.6,12,,,,,,,,
25052000,191,6.5,18,,,,,,,,
215887717,141,6.4,28,,,,,,,,
121545703,127,5.9,28,,,,,,,,
101595121,98,5.3,35,,,,,,,,
127666415,116,6.1,28,,,,,,,,
107879496,106,6.5,35,,,,,,,,
41819064,87,4.3,35,,,,,,,,
18720175,125,5.8,28,,,,,,,,
155760117,167,7.6,80,,,,,,,,
0,93,5.9,28,,,,,,,,
183953723,95,5.5,16,,,,,,,,
422610419,117,7,28,,,,,,,,
516642939,115,6.1,35,,,,,,,,
244082376,115,6.9,35,,,,,,,,
284600000,189,8.2,14,,,,,,,,
253625427,100,5.6,28,,,,,,,,
314432665,81,5.6,16,,,,,,,,
369330363,145,7.9,9648,,,,,,,,
214034224,119,7.3,28,,,,,,,,
352194034,130,6.6,12,,,,,,,,
149705852,116,6.1,80,,,,,,,,
264118201,103,7.8,35,,,,,,,,
218613188,99,6.8,12,,,,,,,,
164433867,92,5.6,35,,,,,,,,
